,Athlete,Nation,Sport,Role,Era,Participations,Start Year,End Year,Years,Sport_full,Sport_Type
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1998,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,1999,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,2000,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,2001,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,2002,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,2003,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,2004,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,2005,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,2006,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,2007,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,2008,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,2009,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,2010,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,2011,Judo,Individual
1,Ian Millar,Canada,EJP,Olympics,"(1972, 2012)",10,1972,2012,2012,Judo,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1976,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1977,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1978,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1979,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1980,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1981,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1982,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1983,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1984,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1985,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1986,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1987,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1988,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1989,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1990,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1991,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1992,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1993,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1994,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1995,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1996,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1997,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1998,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,1999,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,2000,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,2001,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,2002,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,2003,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,2004,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,2005,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,2006,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,2007,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,2008,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,2009,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,2010,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,2011,Shooting,Individual
2,Afanasijs Kuzmins,LAT URS,SHO,Olympics,"(1976, 2012)",9,1976,2012,2012,Shooting,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1964,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1965,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1966,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1967,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1968,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1969,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1970,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1971,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1972,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1973,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1974,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1975,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1976,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1977,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1978,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1979,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1980,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1981,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1982,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1983,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1984,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1985,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1986,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1987,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1988,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1989,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1990,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1991,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1992,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1993,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1994,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1995,Sailing,Individual
3,Hubert Raudaschl,AUT,SAL,Olympics/Other,"(1964, 1996)",9,1964,1996,1996,Sailing,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,1988,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,1989,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,1990,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,1991,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,1992,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,1993,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,1994,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,1995,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,1996,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,1997,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,1998,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,1999,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,2000,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,2001,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,2002,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,2003,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,2004,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,2005,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,2006,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,2007,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,2008,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,2009,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,2010,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,2011,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,2012,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,2013,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,2014,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,2015,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,2016,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,2017,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,2018,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,2019,Shooting,Individual
4,Nino Salukvadze,"Georgia, Soviet Union, Unified Team",SHO,Olympics/Other,"(1988, 2020)",9,1988,2020,2020,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,1980,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,1981,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,1982,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,1983,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,1984,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,1985,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,1986,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,1987,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,1988,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,1989,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,1990,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,1991,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,1992,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,1993,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,1994,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,1995,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,1996,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,1997,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,1998,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,1999,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,2000,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,2001,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,2002,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,2003,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,2004,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,2005,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,2006,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,2007,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,2008,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,2009,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,2010,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,2011,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,2012,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,2013,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,2014,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,2015,Shooting,Individual
5,Francisco Boza,Peru,SHO,Olympics/Other,"(1980, 2016)",8,1980,2016,2016,Shooting,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,1992,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,1993,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,1994,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,1995,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,1996,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,1997,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,1998,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,1999,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,2000,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,2001,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,2002,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,2003,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,2004,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,2005,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,2006,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,2007,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,2008,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,2009,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,2010,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,2011,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,2012,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,2013,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,2014,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,2015,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,2016,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,2017,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,2018,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,2019,Artistic Gymnastics,Individual
6,Oksana Chusovitina,"Germany, Unified Team, Uzbekistan",GAR,Olympics,"(1992, 2020)",8,1992,2020,2020,Artistic Gymnastics,Individual
7,Piero D'Inzeo,Italy,EJP,Olympics,"(1948, 1976)",8,1948,1976,1948,Judo,Individual
7,Piero D'Inzeo,Italy,EJP,Olympics,"(1948, 1976)",8,1948,1976,1949,Judo,Individual
7,Piero D'Inzeo,Italy,EJP,Olympics,"(1948, 1976)",8,1948,1976,1950,Judo,Individual
7,Piero D'Inzeo,Italy,EJP,Olympics,"(1948, 1976)",8,1948,1976,1951,Judo,Individual
7,Piero D'Inzeo,Italy,EJP,Olympics,"(1948, 1976)",8,1948,1976,1952,Judo,Individual
7,Piero D'Inzeo,Italy,EJP,Olympics,"(1948, 1976)",8,1948,1976,1953,Judo,Individual
7,Piero D'Inzeo,Italy,EJP,Olympics,"(1948, 1976)",8,1948,1976,1954,Judo,Individual
7,Piero D'Inzeo,Italy,EJP,Olympics,"(1948, 1976)",8,1948,1976,1955,Judo,Individual
7,Piero D'Inzeo,Italy,EJP,Olympics,"(1948, 1976)",8,1948,1976,1956,Judo,Individual
7,Piero D'Inzeo,Italy,EJP,Olympics,"(1948, 1976)",8,1948,1976,1957,Judo,Individual
7,Piero D'Inzeo,Italy,EJP,Olympics,"(1948, 1976)",8,1948,1976,1958,Judo,Individual
7,Piero D'Inzeo,Italy,EJP,Olympics,"(1948, 1976)",8,1948,1976,1959,Judo,Individual
7,Piero D'Inzeo,Italy,EJP,Olympics,"(1948, 1976)",8,1948,1976,1960,Judo,Individual
7,Piero D'Inzeo,Italy,EJP,Olympics,"(1948, 1976)",8,1948,1976,1961,Judo,Individual
7,Piero D'Inzeo,Italy,EJP,Olympics,"(1948, 1976)",8,1948,1976,1962,Judo,Individual
7,Piero D'Inzeo,Italy,EJP,Olympics,"(1948, 1976)",8,1948,1976,1963,Judo,Individual
