Year,Rank,NOC,Gold years,Silver years,Bronze years,Total years,Yug_group,Participation_Status
2020,19,Kenya,4.0,4.0,2.0,10.0,,Participated
2020,20,Norway,4.0,2.0,2.0,8.0,,Participated
2020,21,Jamaica,4.0,1.0,4.0,9.0,,Participated
2020,22,Spain,3.0,8.0,6.0,17.0,,Participated
2020,23,Sweden,3.0,6.0,0.0,9.0,,Participated
2020,24,Switzerland,3.0,4.0,6.0,13.0,,Participated
2020,25,Denmark,3.0,4.0,4.0,11.0,,Participated
2020,26,Croatia,3.0,3.0,2.0,8.0,Croatia,Participated
2020,27,Iran,3.0,2.0,2.0,7.0,,Participated
2020,28,Serbia,3.0,1.0,5.0,9.0,Serbia,Participated
2020,29,Belgium,3.0,1.0,3.0,7.0,,Participated
2020,30,Bulgaria,3.0,1.0,2.0,6.0,,Participated
2020,31,Slovenia,3.0,1.0,1.0,5.0,Slovenia,Participated
2020,32,Uzbekistan,3.0,0.0,2.0,5.0,,Participated
2020,33,Georgia,2.0,5.0,1.0,8.0,,Participated
2020,34,Chinese Taipei,2.0,4.0,6.0,12.0,,Participated
2020,35,Turkey,2.0,2.0,9.0,13.0,,Participated
2020,36,Greece,2.0,1.0,1.0,4.0,,Participated
2020,36,Uganda,2.0,1.0,1.0,4.0,,Participated
2020,38,Ecuador,2.0,1.0,0.0,3.0,,Participated
2020,39,Ireland,2.0,0.0,2.0,4.0,,Participated
2020,39,Israel,2.0,0.0,2.0,4.0,,Participated
2020,41,Qatar,2.0,0.0,1.0,3.0,,Participated
2020,42,Bahamas,2.0,0.0,0.0,2.0,,Participated
2020,42,Kosovo,2.0,0.0,0.0,2.0,Kosovo,Participated
2020,44,Ukraine,1.0,6.0,12.0,19.0,,Participated
2020,45,Belarus,1.0,3.0,3.0,7.0,,Participated
2020,46,Romania,1.0,3.0,0.0,4.0,,Participated
2020,46,Venezuela,1.0,3.0,0.0,4.0,,Participated
2020,48,India,1.0,2.0,4.0,7.0,,Participated
2020,49,Hong Kong,1.0,2.0,3.0,6.0,,Participated
2020,50,Philippines,1.0,2.0,1.0,4.0,,Participated
2020,50,Slovakia,1.0,2.0,1.0,4.0,,Participated
2020,52,South Africa,1.0,2.0,0.0,3.0,,Participated
2020,53,Austria,1.0,1.0,5.0,7.0,,Participated
2020,54,Egypt,1.0,1.0,4.0,6.0,,Participated
2020,55,Indonesia,1.0,1.0,3.0,5.0,,Participated
2020,56,Ethiopia,1.0,1.0,2.0,4.0,,Participated
2020,56,Portugal,1.0,1.0,2.0,4.0,,Participated
2020,58,Tunisia,1.0,1.0,0.0,2.0,,Participated
2020,59,Estonia,1.0,0.0,1.0,2.0,,Participated
2020,59,Fiji,1.0,0.0,1.0,2.0,,Participated
2020,59,Latvia,1.0,0.0,1.0,2.0,,Participated
2020,59,Thailand,1.0,0.0,1.0,2.0,,Participated
2020,63,Bermuda,1.0,0.0,0.0,1.0,,Participated
2020,63,Morocco,1.0,0.0,0.0,1.0,,Participated
2020,63,Puerto Rico,1.0,0.0,0.0,1.0,,Participated
2020,66,Colombia,0.0,4.0,1.0,5.0,,Participated
2020,67,Azerbaijan,0.0,3.0,4.0,7.0,,Participated
2020,68,Dominican Republic,0.0,3.0,2.0,5.0,,Participated
2020,69,Armenia,0.0,2.0,2.0,4.0,,Participated
2020,70,Kyrgyzstan,0.0,2.0,1.0,3.0,,Participated
2020,71,Mongolia,0.0,1.0,3.0,4.0,,Participated
2020,72,Argentina,0.0,1.0,2.0,3.0,,Participated
2020,72,San Marino,0.0,1.0,2.0,3.0,,Participated
2020,74,Jordan,0.0,1.0,1.0,2.0,,Participated
2020,74,Malaysia,0.0,1.0,1.0,2.0,,Participated
2020,74,Nigeria,0.0,1.0,1.0,2.0,,Participated
2020,77,Bahrain,0.0,1.0,0.0,1.0,,Participated
2020,77,Lithuania,0.0,1.0,0.0,1.0,,Participated
2020,77,Namibia,0.0,1.0,0.0,1.0,,Participated
2020,77,North Macedonia,0.0,1.0,0.0,1.0,North Macedonia,Participated
2020,77,Saudi Arabia,0.0,1.0,0.0,1.0,,Participated
2020,77,Turkmenistan,0.0,1.0,0.0,1.0,,Participated
2020,83,Kazakhstan,0.0,0.0,8.0,8.0,,Participated
2020,84,Mexico,0.0,0.0,4.0,4.0,,Participated
2020,85,Finland,0.0,0.0,2.0,2.0,,Participated
2020,86,Botswana,0.0,0.0,1.0,1.0,,Participated
2020,86,Burkina Faso,0.0,0.0,1.0,1.0,,Participated
2020,86,Ghana,0.0,0.0,1.0,1.0,,Participated
2020,86,Grenada,0.0,0.0,1.0,1.0,,Participated
2020,86,Ivory Coast,0.0,0.0,1.0,1.0,,Participated
2020,86,Kuwait,0.0,0.0,1.0,1.0,,Participated
2020,86,Moldova,0.0,0.0,1.0,1.0,,Participated
2020,86,Syria,0.0,0.0,1.0,1.0,,Participated
2016,1,United States,46.0,37.0,38.0,121.0,,Participated
2016,2,Great Britain,27.0,23.0,17.0,67.0,,Participated
2016,3,China,26.0,18.0,26.0,70.0,,Participated
2016,4,Russia,19.0,17.0,20.0,56.0,,Participated
2016,5,Germany,17.0,10.0,15.0,42.0,,Participated
2016,6,Japan,12.0,8.0,21.0,41.0,,Participated
2016,7,France,10.0,18.0,14.0,42.0,,Participated
2016,8,South Korea,9.0,3.0,9.0,21.0,,Participated
2016,9,Italy,8.0,12.0,8.0,28.0,,Participated
2016,10,Australia,8.0,11.0,10.0,29.0,,Participated
2016,11,Netherlands,8.0,7.0,4.0,19.0,,Participated
2016,12,Hungary,8.0,3.0,4.0,15.0,,Participated
2016,13,Brazil,7.0,6.0,6.0,19.0,,Participated
2016,14,Spain,7.0,4.0,6.0,17.0,,Participated
2016,15,Kenya,6.0,6.0,1.0,13.0,,Participated
2016,16,Jamaica,6.0,3.0,2.0,11.0,,Participated
2016,17,Croatia,5.0,3.0,2.0,10.0,Croatia,Participated
2016,18,Cuba,5.0,2.0,4.0,11.0,,Participated
2016,19,New Zealand,4.0,9.0,5.0,18.0,,Participated
2016,20,Canada,4.0,3.0,15.0,22.0,,Participated
2016,21,Uzbekistan,4.0,2.0,7.0,13.0,,Participated
2016,22,Colombia,3.0,2.0,3.0,8.0,,Participated
2016,23,Switzerland,3.0,2.0,2.0,7.0,,Participated
2016,24,Iran,3.0,1.0,4.0,8.0,,Participated
2016,25,Greece,3.0,1.0,2.0,6.0,,Participated
2016,26,Argentina,3.0,1.0,0.0,4.0,,Participated
2016,27,Denmark,2.0,6.0,7.0,15.0,,Participated
2016,28,Sweden,2.0,6.0,3.0,11.0,,Participated
2016,29,South Africa,2.0,6.0,2.0,10.0,,Participated
2016,30,Kazakhstan,2.0,5.0,10.0,17.0,,Participated
2016,31,Ukraine,2.0,5.0,4.0,11.0,,Participated
2016,32,Serbia,2.0,4.0,2.0,8.0,Serbia,Participated
2016,33,Poland,2.0,3.0,6.0,11.0,,Participated
2016,34,North Korea,2.0,3.0,2.0,7.0,,Participated
2016,35,Belgium,2.0,2.0,2.0,6.0,,Participated
2016,35,Thailand,2.0,2.0,2.0,6.0,,Participated
2016,37,Slovakia,2.0,2.0,0.0,4.0,,Participated
2016,38,Georgia,2.0,1.0,4.0,7.0,,Participated
2016,39,Azerbaijan,1.0,7.0,10.0,18.0,,Participated
2016,40,Belarus,1.0,4.0,4.0,9.0,,Participated
2016,41,Turkey,1.0,3.0,4.0,8.0,,Participated
2016,42,Armenia,1.0,3.0,0.0,4.0,,Participated
2016,43,Czech Republic,1.0,2.0,7.0,10.0,,Participated
2016,44,Ethiopia,1.0,2.0,5.0,8.0,,Participated
2016,45,Slovenia,1.0,2.0,1.0,4.0,Slovenia,Participated
2016,46,Indonesia,1.0,2.0,0.0,3.0,,Participated
2016,47,Romania,1.0,1.0,2.0,4.0,,Participated
2016,48,Bahrain,1.0,1.0,0.0,2.0,,Participated
2016,48,Vietnam,1.0,1.0,0.0,2.0,,Participated
2016,50,Chinese Taipei,1.0,0.0,2.0,3.0,,Participated
2016,51,Bahamas,1.0,0.0,1.0,2.0,,Participated
2016,51,Independent Olympic Athletes[D],1.0,0.0,1.0,2.0,,Participated
2016,51,Ivory Coast,1.0,0.0,1.0,2.0,,Participated
2016,54,Fiji,1.0,0.0,0.0,1.0,,Participated
2016,54,Jordan,1.0,0.0,0.0,1.0,,Participated
2016,54,Kosovo,1.0,0.0,0.0,1.0,Kosovo,Participated
2016,54,Puerto Rico,1.0,0.0,0.0,1.0,,Participated
2016,54,Singapore,1.0,0.0,0.0,1.0,,Participated
2016,54,Tajikistan,1.0,0.0,0.0,1.0,,Participated
2016,60,Malaysia,0.0,4.0,1.0,5.0,,Participated
2016,61,Mexico,0.0,3.0,2.0,5.0,,Participated
2016,62,Venezuela,0.0,2.0,1.0,3.0,,Participated
2016,63,Algeria,0.0,2.0,0.0,2.0,,Participated
2016,63,Ireland,0.0,2.0,0.0,2.0,,Participated
2016,65,Lithuania,0.0,1.0,3.0,4.0,,Participated
2016,66,Bulgaria,0.0,1.0,2.0,3.0,,Participated
2016,67,India,0.0,1.0,1.0,2.0,,Participated
2016,67,Mongolia,0.0,1.0,1.0,2.0,,Participated
2016,69,Burundi,0.0,1.0,0.0,1.0,,Participated
2016,69,Grenada,0.0,1.0,0.0,1.0,,Participated
2016,69,Niger,0.0,1.0,0.0,1.0,,Participated
2016,69,Philippines,0.0,1.0,0.0,1.0,,Participated
2016,69,Qatar,0.0,1.0,0.0,1.0,,Participated
2016,74,Norway,0.0,0.0,4.0,4.0,,Participated
2016,75,Egypt,0.0,0.0,3.0,3.0,,Participated
2016,75,Tunisia,0.0,0.0,3.0,3.0,,Participated
2016,77,Israel,0.0,0.0,2.0,2.0,,Participated
2016,78,Austria,0.0,0.0,1.0,1.0,,Participated
2016,78,Dominican Republic,0.0,0.0,1.0,1.0,,Participated
2016,78,Estonia,0.0,0.0,1.0,1.0,,Participated
2016,78,Finland,0.0,0.0,1.0,1.0,,Participated
2016,78,Morocco,0.0,0.0,1.0,1.0,,Participated
2016,78,Nigeria,0.0,0.0,1.0,1.0,,Participated
2016,78,Portugal,0.0,0.0,1.0,1.0,,Participated
2016,78,Trinidad and Tobago,0.0,0.0,1.0,1.0,,Participated
2016,78,United Arab Emirates,0.0,0.0,1.0,1.0,,Participated
2012,1,United States,48.0,26.0,31.0,105.0,,Participated
2012,2,China,39.0,31.0,22.0,92.0,,Participated
2012,3,Great Britain,29.0,18.0,18.0,65.0,,Participated
2012,4,Russia,18.0,20.0,26.0,64.0,,Participated
2012,5,South Korea,13.0,9.0,9.0,31.0,,Participated
2012,6,Germany,11.0,20.0,13.0,44.0,,Participated
2012,7,France,11.0,11.0,13.0,35.0,,Participated
2012,8,Australia,8.0,15.0,12.0,35.0,,Participated
2012,9,Italy,8.0,9.0,11.0,28.0,,Participated
2012,10,Hungary,8.0,4.0,6.0,18.0,,Participated
2012,11,Japan,7.0,14.0,17.0,38.0,,Participated
2012,12,Iran,7.0,5.0,1.0,13.0,,Participated
2012,13,Netherlands,6.0,6.0,8.0,20.0,,Participated
2012,14,New Zealand,6.0,2.0,5.0,13.0,,Participated
2012,15,Ukraine,5.0,4.0,10.0,19.0,,Participated
2012,16,Cuba,5.0,3.0,7.0,15.0,,Participated
2012,17,Spain,4.0,10.0,6.0,20.0,,Participated
2012,18,Jamaica,4.0,5.0,4.0,13.0,,Participated
2012,19,Czech Republic,4.0,4.0,3.0,11.0,,Participated
2012,20,South Africa,4.0,1.0,1.0,6.0,,Participated
2012,21,North Korea,4.0,0.0,2.0,6.0,,Participated
2012,22,Brazil,3.0,5.0,9.0,17.0,,Participated
2012,23,Kazakhstan,3.0,2.0,6.0,11.0,,Participated
2012,23,Poland,3.0,2.0,6.0,11.0,,Participated
2012,25,Ethiopia,3.0,2.0,3.0,8.0,,Participated
2012,26,Croatia,3.0,1.0,2.0,6.0,Croatia,Participated
2012,27,Canada,2.0,6.0,10.0,18.0,,Participated
2012,28,Belarus,2.0,5.0,3.0,10.0,,Participated
2012,29,Kenya,2.0,4.0,7.0,13.0,,Participated
2012,30,Denmark,2.0,4.0,3.0,9.0,,Participated
2012,31,Romania,2.0,4.0,1.0,7.0,,Participated
2012,32,Azerbaijan,2.0,2.0,5.0,9.0,,Participated
2012,33,Switzerland,2.0,2.0,0.0,4.0,,Participated
2012,34,Norway,2.0,1.0,1.0,4.0,,Participated
2012,35,Lithuania,2.0,0.0,3.0,5.0,,Participated
2012,36,Tunisia,2.0,0.0,1.0,3.0,,Participated
2012,37,Sweden,1.0,4.0,3.0,8.0,,Participated
2012,38,Colombia,1.0,3.0,5.0,9.0,,Participated
2012,39,Mexico,1.0,3.0,4.0,8.0,,Participated
2012,40,Georgia,1.0,2.0,3.0,6.0,,Participated
2012,41,Ireland,1.0,1.0,4.0,6.0,,Participated
2012,42,Argentina,1.0,1.0,2.0,4.0,,Participated
2012,42,Serbia,1.0,1.0,2.0,4.0,Serbia,Participated
2012,42,Slovenia,1.0,1.0,2.0,4.0,Slovenia,Participated
2012,42,Trinidad and Tobago,1.0,1.0,2.0,4.0,,Participated
2012,46,Turkey,1.0,1.0,1.0,3.0,,Participated
2012,47,Dominican Republic,1.0,1.0,0.0,2.0,,Participated
2012,48,Chinese Taipei,1.0,0.0,1.0,2.0,,Participated
2012,48,Latvia,1.0,0.0,1.0,2.0,,Participated
2012,50,Algeria,1.0,0.0,0.0,1.0,,Participated
2012,50,Bahamas,1.0,0.0,0.0,1.0,,Participated
2012,50,Bahrain,1.0,0.0,0.0,1.0,,Participated
2012,50,Grenada,1.0,0.0,0.0,1.0,,Participated
2012,50,Uganda,1.0,0.0,0.0,1.0,,Participated
2012,50,Venezuela,1.0,0.0,0.0,1.0,,Participated
2012,56,Egypt,0.0,3.0,1.0,4.0,,Participated
2012,57,India,0.0,2.0,4.0,6.0,,Participated
2012,58,Mongolia,0.0,2.0,3.0,5.0,,Participated
2012,59,Thailand,0.0,2.0,2.0,4.0,,Participated
2012,60,Bulgaria,0.0,2.0,1.0,3.0,,Participated
2012,60,Finland,0.0,2.0,1.0,3.0,,Participated
2012,60,Indonesia,0.0,2.0,1.0,3.0,,Participated
2012,63,Slovakia,0.0,1.0,3.0,4.0,,Participated
2012,64,Belgium,0.0,1.0,2.0,3.0,,Participated
2012,65,Armenia,0.0,1.0,1.0,2.0,,Participated
2012,65,Estonia,0.0,1.0,1.0,2.0,,Participated
2012,65,Malaysia,0.0,1.0,1.0,2.0,,Participated
2012,65,Puerto Rico,0.0,1.0,1.0,2.0,,Participated
2012,65,Qatar,0.0,1.0,1.0,2.0,,Participated
2012,70,Botswana,0.0,1.0,0.0,1.0,,Participated
2012,70,Cyprus,0.0,1.0,0.0,1.0,,Participated
2012,70,Gabon,0.0,1.0,0.0,1.0,,Participated
2012,70,Guatemala,0.0,1.0,0.0,1.0,,Participated
2012,70,Montenegro,0.0,1.0,0.0,1.0,Montenegro,Participated
2012,70,Portugal,0.0,1.0,0.0,1.0,,Participated
2012,76,Uzbekistan,0.0,0.0,3.0,3.0,,Participated
2012,77,Greece,0.0,0.0,2.0,2.0,,Participated
2012,77,Singapore,0.0,0.0,2.0,2.0,,Participated
2012,79,Afghanistan,0.0,0.0,1.0,1.0,,Participated
2012,79,Cameroon,0.0,0.0,1.0,1.0,,Participated
2012,79,Hong Kong,0.0,0.0,1.0,1.0,,Participated
2012,79,Kuwait,0.0,0.0,1.0,1.0,,Participated
2012,79,Morocco,0.0,0.0,1.0,1.0,,Participated
2012,79,Saudi Arabia,0.0,0.0,1.0,1.0,,Participated
2012,79,Tajikistan,0.0,0.0,1.0,1.0,,Participated
2012,79,Vietnam,0.0,0.0,1.0,1.0,,Participated
2008,1,China,48.0,22.0,30.0,100.0,,Participated
2008,2,United States,36.0,39.0,37.0,112.0,,Participated
2008,3,Russia,24.0,13.0,23.0,60.0,,Participated
2008,4,Great Britain,19.0,13.0,19.0,51.0,,Participated
2008,5,Germany,16.0,11.0,14.0,41.0,,Participated
2008,6,Australia,14.0,15.0,17.0,46.0,,Participated
2008,7,South Korea,13.0,11.0,8.0,32.0,,Participated
2008,8,Japan,9.0,8.0,8.0,25.0,,Participated
2008,9,Italy,8.0,9.0,10.0,27.0,,Participated
2008,10,France,7.0,16.0,20.0,43.0,,Participated
2008,11,Netherlands,7.0,5.0,4.0,16.0,,Participated
2008,12,Ukraine,7.0,4.0,11.0,22.0,,Participated
2008,13,Kenya,6.0,4.0,6.0,16.0,,Participated
2008,14,Spain,5.0,11.0,3.0,19.0,,Participated
2008,15,Jamaica,5.0,4.0,2.0,11.0,,Participated
2008,16,Poland,4.0,5.0,2.0,11.0,,Participated
2008,17,Ethiopia,4.0,2.0,1.0,7.0,,Participated
2008,18,Romania,4.0,1.0,4.0,9.0,,Participated
2008,19,Cuba,3.0,10.0,17.0,30.0,,Participated
2008,20,Canada,3.0,9.0,8.0,20.0,,Participated
2008,21,Hungary,3.0,5.0,2.0,10.0,,Participated
2008,22,Norway,3.0,5.0,1.0,9.0,,Participated
2008,23,Brazil,3.0,4.0,10.0,17.0,,Participated
2008,24,Belarus,3.0,4.0,7.0,14.0,,Participated
2008,25,Czech Republic,3.0,3.0,1.0,7.0,,Participated
2008,26,Slovakia,3.0,3.0,0.0,6.0,,Participated
2008,27,New Zealand,3.0,2.0,4.0,9.0,,Participated
2008,28,Georgia,3.0,2.0,2.0,7.0,,Participated
2008,29,Kazakhstan,2.0,3.0,4.0,9.0,,Participated
2008,30,Denmark,2.0,2.0,3.0,7.0,,Participated
2008,31,North Korea,2.0,2.0,2.0,6.0,,Participated
2008,31,Thailand,2.0,2.0,2.0,6.0,,Participated
2008,33,Mongolia,2.0,2.0,0.0,4.0,,Participated
2008,34,Switzerland,2.0,1.0,4.0,7.0,,Participated
2008,35,Argentina,2.0,0.0,4.0,6.0,,Participated
2008,36,Mexico,2.0,0.0,2.0,4.0,,Participated
2008,37,Belgium,2.0,0.0,0.0,2.0,,Participated
2008,38,Zimbabwe,1.0,3.0,0.0,4.0,,Participated
2008,39,Slovenia,1.0,2.0,2.0,5.0,Slovenia,Participated
2008,40,Azerbaijan,1.0,1.0,4.0,6.0,,Participated
2008,40,Indonesia,1.0,1.0,4.0,6.0,,Participated
2008,42,Bulgaria,1.0,1.0,3.0,5.0,,Participated
2008,42,Turkey,1.0,1.0,3.0,5.0,,Participated
2008,44,Chinese Taipei,1.0,1.0,2.0,4.0,,Participated
2008,44,Finland,1.0,1.0,2.0,4.0,,Participated
2008,46,Latvia,1.0,1.0,1.0,3.0,,Participated
2008,47,Dominican Republic,1.0,1.0,0.0,2.0,,Participated
2008,47,Estonia,1.0,1.0,0.0,2.0,,Participated
2008,47,Portugal,1.0,1.0,0.0,2.0,,Participated
2008,47,Trinidad and Tobago,1.0,1.0,0.0,2.0,,Participated
2008,51,India,1.0,0.0,2.0,3.0,,Participated
2008,52,Iran,1.0,0.0,1.0,2.0,,Participated
2008,53,Cameroon,1.0,0.0,0.0,1.0,,Participated
2008,53,Panama,1.0,0.0,0.0,1.0,,Participated
2008,53,Tunisia,1.0,0.0,0.0,1.0,,Participated
2008,56,Sweden,0.0,4.0,1.0,5.0,,Participated
2008,57,Lithuania,0.0,3.0,2.0,5.0,,Participated
2008,57,Nigeria,0.0,3.0,2.0,5.0,,Participated
2008,59,Croatia,0.0,2.0,3.0,5.0,Croatia,Participated
2008,60,Colombia,0.0,2.0,1.0,3.0,,Participated
2008,60,Greece,0.0,2.0,1.0,3.0,,Participated
2008,62,Armenia,0.0,1.0,4.0,5.0,,Participated
2008,63,Uzbekistan,0.0,1.0,3.0,4.0,,Participated
2008,64,Austria,0.0,1.0,2.0,3.0,,Participated
2008,64,Ireland,0.0,1.0,2.0,3.0,,Participated
2008,64,Kyrgyzstan,0.0,1.0,2.0,3.0,,Participated
2008,64,Serbia,0.0,1.0,2.0,3.0,Serbia,Participated
2008,68,Algeria,0.0,1.0,1.0,2.0,,Participated
2008,68,Bahamas,0.0,1.0,1.0,2.0,,Participated
2008,68,Morocco,0.0,1.0,1.0,2.0,,Participated
2008,68,Tajikistan,0.0,1.0,1.0,2.0,,Participated
2008,72,Chile,0.0,1.0,0.0,1.0,,Participated
2008,72,Ecuador,0.0,1.0,0.0,1.0,,Participated
2008,72,Iceland,0.0,1.0,0.0,1.0,,Participated
2008,72,Malaysia,0.0,1.0,0.0,1.0,,Participated
2008,72,Samoa,0.0,1.0,0.0,1.0,,Participated
2008,72,Singapore,0.0,1.0,0.0,1.0,,Participated
2008,72,South Africa,0.0,1.0,0.0,1.0,,Participated
2008,72,Sudan,0.0,1.0,0.0,1.0,,Participated
2008,72,Vietnam,0.0,1.0,0.0,1.0,,Participated
2008,81,Egypt,0.0,0.0,2.0,2.0,,Participated
2008,82,Afghanistan,0.0,0.0,1.0,1.0,,Participated
